MeSHID	Appearance(pmid , tokenized lowercase words)
MeSHD006801	[[7829088, 'human']]
MeSHD016454	[[29884707, 'review'], [29884995, 'review'], [29889308, 'review'], [29921308, 'review'], [29968278, 'review'], [29990624, 'review'], [7881069, 'review'], [9597165, 'review']]
MeSHD059907	[[29720819, 'functional', 'neuroimaging'], [29733250, 'functional', 'brain', 'imaging']]
MeSHQ000600	[[29910971, 'distribution'], [29939986, 'distribution'], [29950010, 'distribution'], [9864379, 'distribution']]
MeSHD017397	[[29686260, 'prefrontal', 'cortex'], [29733250, 'inferior', 'frontal', 'gyrus']]
MeSHQ000556	[[29941280, 'metastatic']]
MeSHD013649	[[29803490, 'taste']]
MeSHD000882	[[29793979, 'monkey'], [29805153, 'monkey'], [8971015, 'monkey']]
MeSHD016424	[[8876090, 'overall']]
MeSHD017239	[[29790111, 'paclitaxel']]
MeSHD017209	[[29858601, 'apoptosis']]
MeSHD011042	[[28094516, 'poison'], [28116798, 'poisons'], [28303424, 'poison'], [28603668, 'poison'], [28937739, 'poison'], [29461288, 'poison'], [29575195, 'poison'], [29670134, 'poison'], [29766989, 'poisons']]
MeSHD009369	[[29976502, 'tumor'], [7829088, 'tumor'], [7829088, 'tumors'], [8143266, 'neoplasias'], [8143266, 'neoplasia']]
MeSHD002477	[[8143266, 'cells'], [8143266, 'cell'], [8682501, 'cells'], [9525608, 'cells'], [9525608, 'cell'], [9811782, 'cells']]
MeSHD010766	[[29845289, 'phosphorylation'], [7798242, 'phosphorylation']]
MeSHD020478	[[8971015, 'form'], [9490287, 'form'], [9597165, 'form']]
MeSHD012694	[[29751012, 'serine'], [29755114, 'serine'], [29767249, 'serine'], [29843611, 'serine']]
MeSHD000596	[[8971015, 'amino', 'acids'], [9444996, 'amino', 'acids'], [9864185, 'amino', 'acid']]
MeSHQ000628	[[29990624, 'treatment'], [9597165, 'treatment']]
MeSHD005796	[[9811782, 'gene']]
MeSHD050505	[[28382305, 'mutant', 'protein'], [28382372, 'mutant', 'proteins'], [28490506, 'mutant', 'protein'], [28498885, 'mutant', 'protein'], [28510715, 'mutant', 'proteins'], [28880077, 'mutant', 'protein'], [28915558, 'mutant', 'proteins'], [29028486, 'mutant', 'protein'], [29040325, 'mutant', 'proteins'], [29080743, 'mutant', 'proteins'], [29305604, 'mutant', 'proteins'], [29754957, 'mutant', 'protein']]
MeSHD012380	[[9525608, 'role']]
MeSHD020928	[[29802301, 'mitogen-activated', 'protein', 'kinase'], [29843611, 'mitogen-activated', 'protein', 'kinase']]
MeSHD048031	[[27746684, 'c-jun', 'n-terminal', 'kinase'], [27764820, 'jun', 'nh2-terminal', 'kinase'], [27789465, 'c-jun', 'n-terminal', 'kinase'], [27848251, 'c-jun-n-terminal', 'kinase'], [28011284, 'c-jun', 'n-terminal', 'kinase'], [28085489, 'c-jun', 'n-terminal', 'kinase'], [28100586, 'c-jun', 'n-terminal', 'kinase'], [28137827, 'jun', 'n-terminal', 'kinase'], [28176854, 'c-jun', 'n-terminal', 'kinase'], [28188410, 'c-jun', 'n-terminal', 'kinase'], [28229251, 'c-jun', 'n-terminal', 'kinase'], [28286938, 'c-jun', 'n-terminal', 'kinase'], [28338974, 'c-jun', 'n-terminal', 'kinase'], [28408888, 'jun', 'n-terminal', 'kinase'], [28607091, 'c-jun', 'n-terminal', 'kinase'], [28761990, 'jun-nh2-terminal', 'kinase'], [28858391, 'jun', 'n-terminal', 'kinase'], [28869759, 'c-jun', 'n-terminal', 'kinase'], [28928277, 'c-jun', 'n-terminal', 'kinase'], [29037153, 'jun', 'n-terminal', 'kinase'], [29096690, 'c-jun', 'n-terminal', 'kinase'], [29129664, 'c-jun', 'n-terminal', 'kinase'], [29158824, 'c-jun', 'n-terminal', 'kinase'], [29217822, 'c-jun', 'n-terminal', 'kinase'], [29234369, 'c-jun', 'n-terminal', 'kinase'], [29323102, 'c-jun', 'n-terminal', 'kinase'], [29497877, 'c-jun', 'n-terminal', 'kinase'], [29691718, 'c-jun', 'n-terminal', 'kinase'], [29716662, 'c-jun', 'n-terminal', 'kinase']]
MeSHD048049	[[28968756, 'extracellular', 'signal-regulated', 'kinase'], [29037153, 'extracellular', 'signal-regulated', 'kinase'], [29277773, 'extracellular', 'signal-regulated', 'kinase'], [29352038, 'extracellular', 'signal-regulated', 'kinase'], [29387237, 'extracellular', 'signal-regulated', 'kinase'], [29630631, 'extracellular-signal-regulated', 'kinase'], [29656114, 'extracellular', 'signal-regulated', 'kinase'], [29691718, 'extracellular', 'signal-regulated', 'kinase'], [29705048, 'extracellular', 'signal-regulated', 'kinase'], [29737325, 'extracellular', 'signal-regulated', 'kinase']]
MeSHD014162	[[29580143, 'transfection'], [29618647, 'transfection'], [29665321, 'transfection'], [29698635, 'transfection'], [29710484, 'transfection'], [29749704, 'transfection'], [29754184, 'transfection'], [29849790, 'transfection'], [29869248, 'transfection']]
MeSHD011494	[[29801463, 'protein', 'kinase']]
MeSHD010770	[[29790111, 'kinase'], [29794873, 'kinase'], [29845289, 'kinase'], [29856883, 'kinase']]
MeSHD054638	[[22339770, 'mapk', 'phosphatase'], [22525239, 'mapk', 'phosphatase'], [23560844, 'mapk', 'phosphatase'], [24615402, 'map', 'kinase', 'phosphatase', '1'], [24615402, 'dual', 'specificity', 'phosphatase', '1'], [25220640, 'dual-specificity', 'phosphatase', '1'], [25667269, 'phosphatase', ',', 'mkp1'], [29234123, 'dual-specificity', 'phosphatase', '1'], [29362237, 'mapk', 'phosphatase']]
MeSHC093973	[[28225041, 'pd-98059'], [28498464, 'pd98059'], [28521061, 'pd98059'], [28731137, 'pd98059'], [28858391, 'pd', '98059'], [29735364, 'pd98059']]
MeSHQ000037	[[29856687, 'inhibitors'], [29921228, 'inhibitors']]
MeSHC093642	[[29022012, 'sb203580'], [29398601, 'sb203580'], [29658576, 'sb203580'], [29874812, 'sb203580']]
MeSHC090942	[[28393288, 'sb202190']]
MeSHD048051	[[29874812, 'p38', 'mapk']]
MeSHD014024	[[8847735, 'tissues'], [9525608, 'tissue']]
MeSHD008722	[[29955818, 'method'], [29968278, 'method'], [9864185, 'method']]
MeSHD003582	[[29760780, 'cytogenetics'], [29798961, 'cytogenetic'], [29850449, 'cytogenetics'], [29884995, 'cytogenetic'], [29887936, 'cytogenetic']]
MeSHD005557	[[29756766, 'formaldehyde'], [29760567, 'formalin'], [29807544, 'formalin'], [29887936, 'formalin']]
MeSHD010232	[[29748574, 'paraffin'], [29760567, 'paraffin'], [29807544, 'paraffin'], [29887936, 'paraffin'], [8682501, 'paraffin']]
MeSHD013995	[[29887936, 'time'], [29897471, 'time'], [29910971, 'time'], [29921228, 'time'], [29928371, 'times'], [29959452, 'time'], [9525608, 'times'], [9597165, 'time']]
MeSHD007399	[[9864379, 'interphase']]
MeSHD020732	[[29662277, 'cytogenetic', 'analysis'], [29739404, 'cytogenetic', 'analysis'], [29739404, 'molecular', 'cytogenetic', 'techniques'], [29752043, 'molecular', 'cytogenetic', 'techniques'], [29760780, 'molecular', 'cytogenetics', 'techniques'], [29850449, 'cytogenetic', 'analysis'], [29884995, 'cytogenetic', 'analysis']]
MeSHQ000032	[[9852234, 'analysis']]
MeSHD005453	[[29887936, 'fluorescence'], [7829088, 'fluorescence'], [8143266, 'fluorescence'], [8682501, 'fluorescence'], [9490287, 'fluorescence'], [9852234, 'fluorescence'], [9864379, 'fluorescence']]
MeSHD017403	[[29887936, 'in', 'situ', 'hybridization'], [8143266, 'in', 'situ', 'hybridization'], [8682501, 'in', 'situ', 'hybridization'], [8847735, 'in', 'situ', 'hybridization'], [9490287, 'in', 'situ', 'hybridization'], [9852234, 'in', 'situ', 'hybridization'], [9864379, 'in', 'situ', 'hybridization']]
MeSHD000077195	[[29856687, 'hnscc']]
MeSHD004251	[[29870572, 'transposable', 'elements']]
MeSHD015894	[[29741956, 'human', 'genome'], [29743854, 'human', 'genome'], [29751665, 'human', 'genome'], [29755505, 'human', 'genome'], [29757393, 'human', 'genome'], [29787433, 'human', 'genome']]
MeSHD020401	[[26725683, 'prins']]
MeSHD059765	[[29103969, 'homologous', 'recombination'], [29123506, 'homologous', 'recombination'], [29179262, 'homologous', 'recombination'], [29276725, 'homologous', 'recombination'], [29286440, 'homologous', 'recombination'], [29290694, 'homologous', 'recombination'], [29301066, 'homologous', 'recombination'], [29351742, 'homologous', 'recombination'], [29394989, 'homologous', 'recombination'], [29433064, 'homologous', 'recombination'], [29438783, 'homologous', 'recombination'], [29453406, 'homologous', 'recombination'], [29549028, 'homologous', 'recombination'], [29557773, 'homologous', 'recombination'], [29593766, 'homologous', 'recombination'], [29617810, 'homologous', 'recombination'], [29621557, 'homologous', 'recombination'], [29704654, 'homologous', 'recombination'], [29743482, 'homologous', 'recombination'], [29754237, 'homologous', 'recombination'], [9811782, 'homologous', 'recombination']]
MeSHD030342	[[29628935, 'genetic', 'diseases'], [29673180, 'genetic', 'diseases'], [29680149, 'genetic', 'disorder'], [29710381, 'genetic', 'diseases'], [29719953, 'genetic', 'disorder'], [29750923, 'genetic', 'diseases'], [29762787, 'genetic', 'diseases'], [29779390, 'genetic', 'disorder'], [29800551, 'genetic', 'disease'], [29801475, 'genetic', 'disorder'], [29812963, 'genetic', 'disease']]
MeSHD002607	[[8682501, 'charcot-marie-tooth', 'disease'], [8847735, 'charcot-marie-tooth', 'disease'], [9852234, 'charcot-marie-tooth', 'disease']]
MeSHD002886	[[28344653, 'chromosome', '17'], [28494439, 'chromosome', '17'], [29199996, 'chromosome', '17'], [29568692, 'chromosome', '17'], [29574397, 'chromosomes', '17'], [29771329, 'chromosome', '17']]
MeSHD000072441	[[26016479, 'ancient', 'dna'], [26057710, 'ancient', 'dna'], [28376731, 'ancient', 'dna'], [28784790, 'ancient', 'dna'], [29719544, 'ancient', 'dna']]
MeSHD005190	[[9597165, 'family']]
MeSHD004602	[[8682501, 'elements']]
MeSHD020079	[[29304730, 'long', 'terminal', 'repeat'], [29467795, 'long-terminal', 'repeat']]
MeSHD007896	[[29716641, 'leishmaniasis'], [29740446, 'leishmaniasis']]
MeSHD007893	[[29332401, 'leishmania', 'donovani'], [29601790, 'leishmania', 'donovani']]
MeSHD010361	[[9490287, 'patients'], [9597165, 'patients'], [9852234, 'patients']]
MeSHD007194	[[29886006, 'india']]
MeSHD019369	[[29953671, 'life']]
MeSHD004194	[[9525608, 'disease'], [9852234, 'disease']]
MeSHD007898	[[29740446, 'visceral', 'leishmaniasis']]
MeSHD013577	[[29848470, 'symptom', 'clusters'], [8847735, 'syndrome']]
MeSHD058872	[[29846209, 'epidemics']]
MeSHD011576	[[26864023, 'sand', 'flies'], [26904694, 'sandfly'], [27175144, 'sandflies'], [27847886, 'phlebotomine'], [27847886, 'sand', 'flies'], [27847886, 'lutzomyia'], [28011960, 'phlebotomine'], [28011960, 'sandflies'], [28649370, 'sand', 'fly'], [28687071, 'sandflies']]
MeSHD000163	[[29411528, 'aids'], [29437967, 'aids'], [29467098, 'aids'], [29472799, 'aids'], [29479525, 'aids'], [29545792, 'acquired', 'immunodeficiency', 'syndrome'], [29549637, 'aids'], [29562909, 'acquired', 'immune', 'deficiency', 'syndrome'], [29562909, 'aids'], [29597315, 'acquired', 'immune', 'deficiency', 'syndrome'], [29597315, 'aids'], [29606908, 'acquired', 'immune', 'deficiency', 'syndrome'], [29606908, 'aids'], [29618650, 'aids'], [29641646, 'aids'], [29670306, 'aids'], [29688862, 'aids'], [29698467, 'acquired', 'immunodeficiency', 'syndrome'], [29698467, 'aids'], [29740519, 'aids'], [29797570, 'aids']]
MeSHD009894	[[29668628, 'opportunistic', 'infections']]
MeSHD003933	[[29889308, 'diagnosis'], [29928371, 'diagnosis'], [29941280, 'diagnosis']]
MeSHQ000379	[[29968278, 'methods'], [29988960, 'methods'], [8682501, 'techniques'], [8847735, 'techniques']]
MeSHD000965	[[28873463, 'antimony'], [29601790, 'antimony']]
MeSHD008055	[[29884707, 'lipids'], [29884707, 'lipid']]
MeSHD000666	[[29788045, 'amphotericin', 'b']]
MeSHD032882	[[29857524, 'understanding'], [29857757, 'understanding'], [29858692, 'understanding'], [29859051, 'understanding'], [29860584, 'understanding'], [29866107, 'understanding'], [29869984, 'understanding'], [29888048, 'understanding'], [29901101, 'understanding'], [29925657, 'understanding'], [29949958, 'understanding'], [29961817, 'understanding']]
MeSHD007109	[[29845526, 'immune', 'responses'], [29848382, 'immune', 'response'], [29857952, 'immunity'], [29859292, 'immune', 'responses'], [9525608, 'immune', 'responses']]
MeSHD007891	[[29740446, 'leishmania']]
MeSHQ000209	[[29872130, 'pathogenesis'], [29879923, 'causes'], [29901101, 'pathogenesis'], [29949958, 'etiology'], [9281518, 'pathogenesis']]
MeSHQ000517	[[29955818, 'control'], [7881069, 'control'], [8143266, 'control']]
MeSHD005910	[[29769662, 'gliomas'], [29773061, 'gliomas']]
MeSHD012516	[[29852168, 'osteosarcoma']]
MeSHD002460	[[29868820, 'cell-lines'], [29868820, 'cell-line'], [29923546, 'cell', 'lines']]
MeSHD009185	[[8847735, 'myelin', 'protein']]
MeSHD012583	[[29771329, 'schwann', 'cell'], [29778801, 'schwann', 'cells']]
